##0 OTH
động OTH
, OTH
cần OTH
đi OTH
khám OTH
để OTH
được OTH
điều OTH
trị OTH
ngay OTH
lập OTH
tức OTH

ợ B-TT
nóng I-TT
, OTH
khó B-TT
chịu I-TT
vùng I-TT
ngực I-TT

tiêu B-TT
phân I-TT
đen I-TT
, OTH
tiêu B-TT
máu I-TT
đỏ I-TT
: OTH
ở OTH
những OTH
trường OTH
hợp OTH
nặng OTH
, OTH
khi OTH
ổ OTH
loét OTH
đã OTH
ăn OTH
sâu OTH
vào OTH
dạ OTH
dày OTH
làm OTH
cho OTH
dạ OTH
dày OTH
chảy OTH
máu OTH
rỉ OTH
rả OTH
vào OTH
đường OTH
tiêu OTH
hoá OTH

khi OTH
lượng OTH
máu OTH
ít OTH
, OTH
máu OTH
có OTH
thể OTH
được OTH
tiêu OTH
hoá OTH
và OTH
chúng OTH
ta OTH
đi B-TT
tiêu I-TT
ra I-TT
phân I-TT
màu I-TT
đen I-TT
, OTH
dính OTH
, OTH
mùi OTH
tanh OTH

trong OTH
những OTH
trường OTH
hợp OTH
hiếm OTH
, OTH
chảy OTH
máu OTH
lượng OTH
nhiều OTH
, OTH
chúng OTH
ta OTH
có OTH
thể OTH
tiêu B-TT
ra I-TT
máu I-TT
đỏ I-TT

đây OTH
là OTH
những OTH
triệu OTH
chứng OTH
báo OTH
động OTH

chúng OTH
ta OTH
cần OTH
khám OTH
bác OTH
sĩ OTH
ngay OTH
lập OTH
tức OTH
khi OTH
phát OTH
hiện OTH
những OTH
triệu OTH
chứng OTH
này OTH

##1 OTH

ở OTH
giai OTH
đoạn OTH
đầu OTH
, OTH
bệnh OTH
đau OTH
mắt OTH
hột OTH
gây OTH
viêm OTH
kết OTH
mạc OTH

( OTH
mắt B-TT
sưng I-TT
đỏ I-TT
) OTH

các OTH
triệu OTH
chứng OTH
sớm OTH
bắt OTH
đầu OTH
xuất OTH
hiện OTH
trong OTH
vòng OTH
5-12 OTH
ngày OTH
sau OTH
khi OTH
tiếp OTH
xúc OTH
với OTH
vi OTH
khuẩn OTH

bao OTH
gồm OTH
ngứa B-TT
nhẹ I-TT
do OTH
kích OTH
ứng OTH
mắt OTH
và OTH
mí OTH
mắt OTH

( OTH
ghèn B-TT
mắt I-TT

khi OTH
nhiễm OTH
trùng OTH
tiến OTH
triển OTH
sẽ OTH
gây OTH
đau B-TT
mắt I-TT
và OTH
mờ B-TT
mắt I-TT

nếu OTH
không OTH
được OTH
điều OTH
trị OTH
, OTH
sẹo OTH
có OTH
thể OTH
hình OTH
thành OTH
bên OTH
trong OTH
mí OTH
mắt OTH

điều OTH
này OTH
dẫn OTH
đến OTH
lông B-TT
mi I-TT
mọc I-TT
ngược I-TT
vào OTH
trong OTH
mắt OTH

khi OTH
đó OTH
, OTH
lông OTH
mi OTH
sẽ OTH
dễ OTH
chà OTH
sát OTH
vào OTH
giác OTH
mạc OTH

sự OTH
kích OTH
thích OTH
liên OTH
tục OTH
này OTH
kèm OTH
với OTH
tình OTH
trạng OTH
viêm OTH
làm OTH
cho OTH
giác B-TT
mạc I-TT
bị I-TT
đục I-TT

nó OTH
có OTH
thể OTH
dẫn OTH
đến OTH
sự OTH
xuất OTH
hiện OTH
của OTH
loét OTH
giác OTH
mạc OTH

cuối OTH
cùng OTH
hậu OTH
quả OTH
là OTH
có OTH
thể OTH
giảm B-TT
thị I-TT
lực I-TT
một OTH
phần OTH
hoặc OTH
hoàn OTH
toàn OTH

nếu OTH
bạn OTH
chỉ OTH
bị OTH
một OTH
đợt OTH
đau OTH
mắt OTH
hột OTH
, OTH
thường OTH
rất OTH
ít OTH
khi OTH
gây OTH
ra OTH
ảnh OTH
hưởng OTH
đến OTH
mắt OTH

trong OTH
trường OTH
hợp OTH
nếu OTH
nhiễm OTH
trùng OTH
tái OTH
phát OTH
, OTH
bạn OTH
có OTH
thể OTH
bị OTH
các OTH
biến OTH
chứng OTH
sẹo OTH
và OTH

suy OTH
giảm OTH
thị OTH
lực OTH
một OTH
phần OTH
hay OTH
hoàn OTH
toàn OTH
sẽ OTH
ảnh OTH
hưởng OTH
đến OTH
sinh OTH
hoạt OTH
của OTH
bạn OTH
và OTH
những OTH
người OTH
thân OTH
trong OTH
gia OTH
đình OTH

biến OTH
chứng OTH
sẹo OTH
xảy OTH
ra OTH
thường OTH
xuyên OTH
hơn OTH
ở OTH
phụ OTH
nữ OTH
so OTH
với OTH
nam OTH
giới OTH

điều OTH
này OTH
có OTH
thể OTH
phản OTH
ánh OTH
nguyên OTH
nhân OTH
do OTH
sự OTH
tiếp OTH
xúc OTH
thường OTH
xuyên OTH
với OTH
trẻ OTH

( OTH
ổ OTH
nhiễm OTH
trùng OTH
chính OTH
) OTH

tóm OTH
lại OTH
, OTH
nếu OTH
bạn OTH
có OTH
những OTH
triệu OTH
chứng OTH
sau OTH
, OTH
bạn OTH
cần OTH
đi OTH
khám OTH
bác OTH
sĩ OTH
nhãn OTH
khoa OTH
ngay OTH
nhé OTH
: OTH
ngứa B-TT
mắt I-TT
do OTH
bị OTH
kích OTH
ứng OTH

chảy B-TT
nước I-TT
mắt I-TT
cảm OTH
thấy OTH
đau B-TT
mắt I-TT
, OTH
giảm B-TT
thị I-TT
lực I-TT
nhạy B-TT
cảm I-TT
với I-TT
ánh I-TT
sáng I-TT
như OTH
sợ B-TT
ánh I-TT
sáng I-TT
mắt OTH
đỏ OTH
##2 OTH
viêm OTH
màng OTH
bồ OTH
đào OTH
có OTH
thể OTH
tiến OTH
triển OTH
đột OTH
ngột OTH
với OTH
các OTH
triệu OTH
chứng OTH
sau OTH
: OTH
mắt B-TT
sưng I-TT
đỏ I-TT
, OTH
có OTH
thể OTH
kèm OTH
theo OTH
đau OTH
và OTH
chảy B-TT
nước I-TT
mắt I-TT

rất B-TT
nhạy I-TT
cảm I-TT
với I-TT
ánh I-TT
sáng I-TT
như OTH
sợ B-TT
ánh I-TT
sáng I-TT

nhìn B-TT
mờ I-TT
do OTH
giảm OTH
thị OTH
lực OTH

hiện OTH
tượng OTH
ruồi OTH
bay OTH
: OTH
bạn OTH
có OTH
thể OTH
thấy B-TT
những I-TT
đốm I-TT
đen I-TT
, OTH
sợi OTH
mảnh OTH
hoặc OTH
giống OTH
mạng OTH
nhện OTH

chúng OTH
di OTH
chuyển OTH
trong OTH
tầm OTH
nhìn OTH
của OTH
bạn OTH

đôi OTH
khi OTH
, OTH
những OTH
chấm OTH
này OTH
trôi OTH
hoặc OTH
lướt OTH
qua OTH
khi OTH
bạn OTH
di OTH
chuyển OTH
mắt OTH

ngoài OTH
ra OTH
một OTH
số OTH
thông OTH
tin OTH
sau OTH
, OTH
bạn OTH
cũng OTH
nên OTH
lưu OTH
ý OTH
vì OTH
có OTH
thể OTH
giúp OTH
bác OTH
sĩ OTH
định OTH
hướng OTH
nguyên OTH
nhân OTH
: OTH
tổn OTH
thương OTH
mắt OTH
1 OTH
bên OTH
hay OTH
2 OTH
bên OTH
bệnh OTH
xảy OTH
ra OTH
lần OTH
đầu OTH
hay OTH
tái OTH
phát OTH
diễn OTH
tiến OTH
cấp OTH
tính OTH
hay OTH
mạn OTH
tính OTH

( OTH
kéo OTH
dài OTH
hơn OTH
3 OTH
tháng OTH
) OTH
đã OTH
điều OTH
trị OTH
thuốc OTH
gì OTH
trước OTH
đó OTH
triệu OTH
chứng OTH
toàn OTH
thân OTH
đi OTH
kèm OTH
như OTH
sốt B-TT
, OTH
sụt B-TT
cân I-TT
, OTH
đau B-TT
khớp I-TT
, OTH
mệt B-TT
mỏi I-TT
… OTH
khám OTH
bác OTH
sĩ OTH
nhãn OTH
khoa OTH
ngay OTH
lập OTH
tức OTH
nếu OTH
bạn OTH
nhận OTH
thấy OTH
bất OTH
kỳ OTH
triệu OTH
chứng OTH
nào OTH
ở OTH
trên OTH

##3 OTH
hở OTH
van OTH
tim OTH
biểu OTH
hiện OTH
nhiều OTH
triệu OTH
chứng OTH
tuỳ OTH
thuộc OTH
vào OTH
mức OTH
độ OTH
hở OTH
và OTH
diễn OTH
tiến OTH
, OTH
ảnh OTH
hưởng OTH
lên OTH
chức OTH
năng OTH
của OTH
tim OTH

mức OTH
độ OTH
nhẹ OTH
thường OTH
không OTH
triệu OTH
chứng OTH

mức OTH
độ OTH
hở OTH
nặng OTH
và OTH
kéo OTH
dài OTH
có OTH
thể OTH
biểu OTH
hiện OTH
: OTH
hay OTH
mệt B-TT
mỏi I-TT
, OTH
khó B-TT
thở I-TT
, OTH
đặc OTH
biệt OTH
là OTH
khi  B-TG
tăng I-TG
cường I-TG
vận I-TG
động I-TG

hồi B-TT
hộp I-TT
, OTH
đánh B-TT
trống I-TT
ngực I-TT
, OTH
tim B-TT
đập I-TT
nhanh I-TT

rối B-TT
loạn I-TT
nhịp I-TT

choáng B-TT
váng I-TT
khi OTH
thay B-TG
đổi I-TG
tư I-TG
thế I-TG

đau B-TT
ngực I-TT
, OTH
từ OTH
âm OTH
ỉ OTH
nặng B-TT
ngực I-TT
cho OTH
tới OTH
đau OTH
nhói OTH
nhiều OTH
phù OTH
, OTH
dễ OTH
thấy OTH
ở OTH
chân OTH

huyết OTH
khối OTH
ở OTH
các OTH
cơ OTH
quan OTH

ho B-TT
ra I-TT
máu I-TT

##4 OTH
đa OTH
số OTH
bệnh OTH
nhân OTH
bị OTH
bệnh OTH
cơ OTH
tim OTH
phì OTH
đại OTH
không OTH
có OTH
hoặc OTH
có OTH
ít OTH
triệu OTH
chứng OTH

trong OTH
một OTH
số OTH
trường OTH
hợp OTH
, OTH
các OTH
triệu OTH
chứng OTH
chỉ OTH
được OTH
có OTH
khi OTH
tập OTH
thể OTH
dục OTH
hoặc OTH
khi OTH
gắng OTH
sức OTH

các OTH
triệu OTH
chứng OTH
có OTH
thể OTH
xảy OTH
ra OTH
trong OTH
tuổi OTH
dậy OTH
thì OTH
, OTH
khi OTH
cơ OTH
tim OTH
phát OTH
triển OTH
phì OTH
đại OTH

tuy OTH
nhiên OTH
triệu OTH
chứng OTH
thường OTH
xuất OTH
hiện OTH
ở OTH
tuổi OTH
trung OTH
niên OTH

trong OTH
một OTH
tỷ OTH
lệ OTH
nhỏ OTH
hơn OTH
các OTH
trường OTH
hợp OTH
, OTH
các OTH
triệu OTH
chứng OTH
có OTH
thể OTH
không OTH
xảy OTH
ra OTH
cho OTH
đến OTH
cuối OTH
đời OTH

tuổi OTH
phát OTH
triển OTH
các OTH
triệu OTH
chứng OTH
và OTH
mức OTH
độ OTH
nghiêm OTH
trọng OTH
của OTH
các OTH
triệu OTH
chứng OTH
khác OTH
nhau OTH
ở OTH
mỗi OTH
bệnh OTH
nhân OTH

ngoài OTH
ra OTH
, OTH
các OTH
triệu OTH
chứng OTH
thường OTH
xuất OTH
hiện OTH
và OTH
rồi OTH
biến OTH
mất OTH
, OTH
bệnh OTH
nhân OTH
thường OTH
khai OTH
báo OTH
có OTH
ngày OTH
và OTH
tuần OTH
cảm OTH
thấy OTH
tốt OTH

( OTH
không OTH
hoặc OTH
ít OTH
triệu OTH
chứng OTH
) OTH
sau OTH
đó OTH
lại OTH
có OTH
những OTH
ngày OTH
và OTH
tuần OTH
với OTH
nhiều OTH
phàn OTH
nàn OTH

( OTH
có OTH
triệu OTH
chứng OTH
) OTH

các OTH
triệu OTH
chứng OTH
phổ OTH
biến OTH
nhất OTH
bao OTH
gồm OTH
: OTH
khó B-TT
thở I-TT
khi OTH
gắng B-TG
sức I-TG
hoặc OTH
khi OTH
nghỉ B-TG
ngơi I-TG
ngất B-TT
xỉu I-TT
hoặc OTH
choáng B-TT
váng I-TT
đánh B-TT
trống I-TT
ngực I-TT

( OTH
cảm B-TT
nhận I-TT
rõ I-TT
nhịp I-TT
đập I-TT
của I-TT
tim I-TT
hoặc OTH
cảm B-TT
thấy I-TT
tim I-TT
đập I-TT
mạnh I-TT
) OTH
chóng B-TT
mặt I-TT
khi OTH
ngồi B-TG
hoặc OTH
đứng B-TG
lên I-TG
mệt B-TT
mỏi I-TT
do OTH
gắng B-TG
sức I-TG
hoặc OTH
cảm B-TT
thấy I-TT
kiệt I-TT
sức I-TT
khi OTH
vận B-TG
động I-TG
phù B-TT
chân I-TT
bệnh OTH
nhân OTH
không OTH
có OTH
hoặc OTH
có OTH
ít OTH
triệu OTH
chứng OTH
thường OTH
có OTH
tiên OTH
lượng OTH
tốt OTH
hơn OTH
những OTH
bệnh OTH
nhân OTH
có OTH
các OTH
triệu OTH
chứng OTH
nặng OTH
nề OTH

tuy OTH
nhiên OTH
, OTH
mức OTH
độ OTH
nghiêm OTH
trọng OTH
của OTH
các OTH
triệu OTH
chứng OTH
không OTH
nhất OTH
thiết OTH
có OTH
tương OTH
quan OTH
với OTH
mức OTH
độ OTH
liên OTH
quan OTH
đến OTH
biến OTH
chứng OTH
tim OTH
hoặc OTH
nguy OTH
cơ OTH
đột OTH
tử OTH

##5 OTH
các OTH
triệu OTH
chứng OTH
thoái OTH
hóa OTH
cột OTH
sống OTH
cổ OTH
thường OTH
thay OTH
đổi OTH

có OTH
thể OTH
là OTH
một OTH
sự OTH
khó B-TT
chịu I-TT
nhẹ OTH
, OTH
không OTH
thường OTH
xuyên OTH
đến OTH
một OTH
cơn OTH
đau OTH
dữ OTH
dội OTH
làm OTH
ảnh OTH
hưởng OTH
chất OTH
lượng OTH
cuộc OTH
sống OTH

khi OTH
thoái OTH
hóa OTH
cột OTH
sống OTH
cổ OTH
có OTH
triệu OTH
chứng OTH
, OTH
nó OTH
thường OTH
đặc OTH
trưng OTH
bởi OTH
cơn OTH
đau OTH
: OTH
cổ B-TT
cứng I-TT
cơn OTH
đau OTH
tăng OTH
dần OTH
và OTH
có OTH
thể OTH
trở OTH
nên OTH
nặng OTH
hơn OTH
theo OTH
thời OTH
gian OTH
đau B-TT
lan I-TT
dọc I-TT
theo I-TT
bả I-TT
vai I-TT
, OTH
cánh OTH
tay OTH
làm OTH
gián B-TT
đoạn I-TT
giấc I-TT
ngủ I-TT
vào OTH
giữa B-TG
đêm I-TG
gây OTH
đau B-TT
đầu I-TT
, OTH
đặc OTH
biệt OTH
là OTH
ở OTH
phía OTH
sau OTH
đầu OTH
không B-TT
có I-TT
khả I-TT
năng I-TT
quay I-TT
đầu I-TT
hoặc OTH
xoay B-TT
cổ I-TT
hoàn I-TT
toàn I-TT
, OTH
đôi OTH
khi OTH
cản OTH
trở OTH
việc OTH
lái OTH
xe OTH
các OTH
triệu OTH
chứng OTH
của OTH
bệnh OTH
thoái OTH
hóa OTH
đốt OTH
sống OTH
cổ OTH
có OTH
xu OTH
hướng OTH
cải OTH
thiện OTH
khi OTH
nghỉ OTH
ngơi OTH

thông OTH
thường OTH
triệu OTH
chứng OTH
sẽ OTH
nghiêm OTH
trọng OTH
nhất OTH
vào OTH
buổi OTH
sáng OTH
và OTH
trở OTH
lại OTH
tồi OTH
tệ OTH
vào OTH
cuối OTH
ngày OTH

khi OTH
thoái OTH
hóa OTH
cột OTH
##6 OTH
rõ OTH
ràng OTH
thoái OTH
hóa OTH
cột OTH
sống OTH
thắt OTH
lưng OTH
gây OTH
ra OTH
nhiều OTH
triệu OTH
chứng OTH
khác OTH
nhau OTH
, OTH
phổ OTH
biến OTH
nhất OTH
là OTH
đau B-TT
lưng I-TT

các OTH
triệu OTH
chứng OTH
thường OTH
phát OTH
triển OTH
chậm OTH
và OTH
xấu OTH
đi OTH
theo OTH
thời OTH
gian OTH

các OTH
dấu OTH
hiệu OTH
và OTH
triệu OTH
chứng OTH
của OTH
viêm OTH
xương OTH
khớp OTH
bao OTH
gồm OTH
: OTH
đau B-TT
lưng I-TT
dưới I-TT

trong OTH
giai OTH
đoạn OTH
đầu OTH
của OTH
bệnh OTH
, OTH
bạn OTH
chỉ OTH
có OTH
thể OTH
bị OTH
đau OTH
vào OTH
buổi OTH
sáng OTH
do OTH
hàng OTH
giờ OTH
không OTH
hoạt OTH
động OTH
các OTH
khớp OTH
bị OTH
ảnh OTH
hưởng OTH
có OTH
thể OTH
bị OTH
đau OTH
trong OTH
hoặc OTH
sau OTH
khi OTH
vận OTH
động OTH

cứng B-TT
khớp I-TT
độ OTH
cứng B-TT
khớp I-TT
có OTH
thể OTH
thấy OTH
rõ OTH
nhất OTH
khi OTH
thức OTH
dậy OTH
hoặc OTH
sau OTH
khi OTH
không OTH
hoạt OTH
động OTH

mất OTH
tính OTH
linh OTH
hoạt OTH
bạn OTH
có OTH
thể OTH
không B-TT
thể I-TT
vận I-TT
động I-TT
cột I-TT
sống I-TT
một I-TT
cách I-TT
trơn I-TT
tru I-TT
, OTH
linh OTH
hoạt OTH
như OTH
trước OTH
đây OTH

sưng OTH
điều OTH
này OTH
có OTH
thể OTH
được OTH
gây OTH
ra OTH
bởi OTH
viêm OTH
mô OTH
mềm OTH
xung OTH
quanh OTH
khớp OTH

chèn OTH
ép OTH
thần OTH
kinh OTH
yếu OTH
hoặc OTH
tê B-TT
ở I-TT
chân I-TT

cảm B-TT
giác I-TT
ngứa I-TT
ran I-TT
ở I-TT
chân I-TT

một OTH
số OTH
trường OTH
hợp OTH
nặng OTH
có OTH
thể OTH
ảnh OTH
hưởng OTH
đến OTH
việc OTH
tiêu OTH
tiểu OTH
không OTH
tự OTH
chủ OTH

đau B-TT
lưng I-TT
do OTH
thoái OTH
hóa OTH
khớp OTH
cột OTH
sống OTH
thắt OTH
lưng OTH
thường OTH
nặng OTH
hơn OTH
khi OTH
ngồi OTH
thẳng OTH
hoặc OTH
đứng OTH

nó OTH
thường OTH
cải OTH
thiện OTH
khi OTH
bạn OTH
nằm OTH
xuống OTH

một OTH
số OTH
người OTH
bị OTH
thoái OTH
hóa OTH
khớp OTH
cột OTH
sống OTH
thắt OTH
lưng OTH
mà OTH
không OTH
có OTH
bất OTH
kỳ OTH
triệu OTH
chứng OTH
nào OTH

##7 OTH
tùy OTH
theo OTH
từng OTH
nguyên OTH
nhân OTH
mà OTH
các OTH
mức OTH
độ OTH
viêm OTH
và OTH
các OTH
triệu OTH
chứng OTH
kèm OTH
theo OTH
sẽ OTH
có OTH
những OTH
biểu OTH
hiện OTH
khác OTH
nhau OTH

nhìn OTH
chung OTH
, OTH
bệnh OTH
cảnh OTH
thường OTH
gặp OTH
là OTH
: OTH
đau B-TT
họng I-TT
với OTH
biểu OTH
hiện OTH
quấy OTH
khóc OTH
, OTH
bỏ B-TT
bú I-TT
, OTH
bỏ B-TT
ăn I-TT

nhìn OTH
thấy OTH
họng B-TT
sưng I-TT
đỏ I-TT

ho I-TT
, OTH
có OTH
thể OTH
ho B-TT
khan I-TT
hay OTH
ho B-TT
đàm I-TT

khàn B-TT
tiếng I-TT

sổ B-TT
mũi I-TT
, OTH
nghẹt B-TT
mũi I-TT
, OTH
chảy B-TT
nước I-TT
mũi I-TT

sốt B-TT

thở B-TT
nhanh I-TT

mệt B-TT
mỏi I-TT
, OTH
ủ B-TT
rũ I-TT
, OTH
lừ B-TT
đừ I-TT

một OTH
số OTH
triệu OTH
chứng OTH
khác OTH
như OTH
nổi B-TT
mẩn I-TT
, OTH
phát B-TT
ban I-TT
, OTH
tiêu B-TT
chảy I-TT
, OTH
chảy B-TT
dịch I-TT
chảy I-TT
mủ I-TT
tùy OTH
theo OTH
mức OTH
độ OTH
nặng OTH
, OTH
thời OTH
gian OTH
diễn OTH
tiến OTH
mà OTH
các OTH
nguyên OTH
nhân OTH
khác OTH
nhau OTH
có OTH
thể OTH
được OTH
xem OTH
xét OTH

sống OTH
cổ OTH
, OTH
có OTH
thể OTH
gặp OTH
tất OTH
cả OTH
các OTH
triệu OTH
chứng OTH
hoặc OTH
chỉ OTH
một OTH
trong OTH
số OTH
đó OTH

##8 OTH
viêm OTH
xoang OTH
thường OTH
có OTH
những OTH
triệu OTH
chứng OTH
điển OTH
hình OTH
sau OTH
đây OTH
: OTH
nghẹt B-TT
mũi I-TT
ho B-TT
sốt B-TT
đau B-TT
đầu I-TT
, OTH
đau B-TT
vùng I-TT
mặt I-TT
sưng B-TT
nề I-TT
vùng I-TT
mặt I-TT
hay OTH
quanh B-TT
mắt I-TT
hiện I-TT
diện I-TT
mủ I-TT
trong OTH
mũi OTH
xoang OTH
nếu OTH
bạn OTH
bị OTH
viêm OTH
mũi OTH
xoang OTH
, OTH
nghẹt B-TT
mũi I-TT
do OTH
niêm OTH
mạc OTH
bị OTH
phù OTH
nề OTH
và OTH
sự OTH
tạo OTH
thành OTH
của OTH
dịch OTH
mủ OTH

điều OTH
này OTH
làm OTH
cho OTH
bạn OTH
khó OTH
hít OTH
thở OTH
qua OTH
mũi OTH

chảy B-TT
nước I-TT
mũi I-TT
xanh OTH
hay OTH
vàng OTH
là OTH
dấu OTH
hiệu OTH
của OTH
nhiễm OTH
trùng OTH

viêm OTH
xoang OTH
thường OTH
gây OTH
đau B-TT
ở I-TT
trán I-TT
, OTH
đau B-TT
hàm I-TT
, OTH
đau B-TT
xung I-TT
quanh I-TT
mắt I-TT

trong OTH
một OTH
số OTH
trường OTH
hợp OTH
ít OTH
gặp OTH
hơn OTH
, OTH
bạn OTH
có OTH
thể OTH
cảm OTH
thấy OTH
đau B-TT
răng I-TT

cảm OTH
giác OTH
đau OTH
và OTH
nghẹt B-TT
mũi I-TT
thường OTH
nặng OTH
hơn OTH
khi OTH
bạn OTH
cúi OTH
người OTH
về OTH
phía OTH
trước OTH

khứu OTH
giác OTH
thường OTH
bị OTH
ảnh OTH
hưởng OTH
, OTH
bạn OTH
có OTH
thể OTH
hoàn OTH
toàn OTH
không B-TT
ngửi I-TT
được I-TT
mùi I-TT

##9 OTH
biểu OTH
hiện OTH
bệnh OTH
lang OTH
ben OTH
bao OTH
gồm OTH
: OTH
ban OTH
đầu OTH
xuất B-TT
hiện I-TT
các I-TT
dát I-TT
, OTH
xuất B-TT
hiện I-TT
chấm I-TT
nhỏ I-TT
có I-TT
màu I-TT
đỏ I-TT
, OTH
xuất B-TT
hiện I-TT
chấm I-TT
nhỏ I-TT
có I-TT
màu I-TT
hồng I-TT
nâu I-TT
hoặc OTH
xuất B-TT
hiện I-TT
chấm I-TT
nhỏ I-TT
có I-TT
màu I-TT
trắng I-TT

những OTH
dát OTH
này OTH
làm OTH
cho OTH
da OTH
của OTH
cơ OTH
thể OTH
không OTH
đều OTH
màu OTH

lúc OTH
mới OTH
xuất OTH
hiện OTH
, OTH
các OTH
dát OTH
này OTH
thường OTH
nhỏ OTH
, OTH
ở OTH
vị OTH
trí OTH
rải OTH
rác OTH
trên OTH
cơ OTH
thể OTH

sau OTH
đó OTH
, OTH
các OTH
dát OTH
này OTH
lớn OTH
lên OTH
, OTH
lan OTH
rộng OTH
ra OTH
và OTH
liên OTH
kết OTH
với OTH
nhau OTH
thành OTH
các OTH
mảng OTH
lớn OTH

trên OTH
các OTH
dát OTH
và OTH
mảng OTH
tổn OTH
thương OTH
này OTH
có OTH
vảy OTH
nhỏ OTH
, OTH
mịn OTH
và OTH
có OTH
thể OTH
bong OTH
ra OTH
dễ OTH
dàng OTH
khi OTH
cạo OTH


vị OTH
trí OTH
thường OTH
gặp OTH
là OTH
cổ OTH
, OTH
ngực OTH
, OTH
lưng OTH
và OTH
hai OTH
cánh OTH
tay OTH

tuy OTH
nhiên OTH
có OTH
thể OTH
gặp OTH
ở OTH
bất OTH
cứ OTH
vị OTH
trí OTH
nào OTH
trên OTH
cơ OTH
thể OTH

da OTH
bị OTH
lang OTH
ben OTH
có OTH
thể OTH
bị OTH
ngứa B-TT
, OTH
nhất OTH
là OTH
khi OTH
ra B-TT
nhiều I-TT
mồ I-TT
hôi I-TT

bệnh OTH
lang OTH
ben OTH
rất OTH
dễ OTH
lây OTH
qua OTH
đường OTH
tiếp OTH
xúc OTH
da OTH
trực OTH
tiếp OTH
hoặc OTH
gián OTH
tiếp OTH

qua OTH
đồ OTH
dùng OTH
cá OTH
nhân OTH
như OTH
dùng OTH
chung OTH
quần OTH
áo OTH
, OTH
khăn OTH
mặt OTH
, OTH
khăn OTH
tắm OTH
, OTH
dao OTH
cạo OTH
râu… OTH
##10 OTH
sau OTH
khi OTH
xâm OTH
nhập OTH
vào OTH
cơ OTH
thể OTH
, OTH
vi-rút OTH
vượt OTH
qua OTH
niêm OTH
mạc OTH
miệng OTH
hay OTH
ruột OTH
sẽ OTH
vào OTH
hệ OTH
thống OTH
hạch OTH
bạch OTH
huyết OTH

từ OTH
đó OTH
sẽ OTH
phát OTH
triển OTH
và OTH
gây OTH
ra OTH
các OTH
tổn OTH
thương OTH
ở OTH
da OTH
và OTH
niêm OTH
mạc OTH

các OTH
triệu OTH
chứng OTH
bệnh OTH
chân OTH
tay OTH
miệng OTH
ở OTH
trẻ OTH
em OTH
được OTH
chia OTH
ra OTH
4 OTH
giai OTH
đoạn OTH
như OTH
sau OTH
: OTH
giai OTH
đoạn OTH
ủ OTH
bệnh OTH
: OTH
từ OTH
3-7 OTH
ngày OTH

giai OTH
đoạn OTH
khởi OTH
phát OTH
: OTH
từ OTH
1 OTH
– OTH
2 OTH
ngày OTH
với OTH
các OTH
triệu OTH
chứng OTH
như OTH
trẻ OTH
bị OTH
sốt B-TT
nhẹ I-TT
, OTH
mệt B-TT
mỏi I-TT
, OTH
đau B-TT
họng I-TT
, OTH
biếng B-TT
ăn I-TT
, OTH
tiêu B-TT
chảy I-TT
vài OTH
lần OTH
trong OTH
ngày OTH

trẻ OTH
nhỏ OTH
có OTH
thể OTH
khó B-TT
